"","Current (A)","CosPhi (Units)","Energy Consumption (kWh)","Reactive Energy (VARh)","Voltage (V)"
"2024-05-27 14:00:00","2.17077","0.99431","0.51495","335.43666","220.05789"
"2024-05-27 15:00:00","2.50953","0.99488","0.51521","367.4471","220.44597"
"2024-05-27 16:00:00","0","1","0.01547","10.78125","220.2166"
"2024-05-27 17:00:00","10.29592","0.99093","1.63918","1260.78124","221.83604"
"2024-05-27 18:00:00","4.14486","0.99405","1.13944","635.78125","222.44224"
"2024-05-27 19:00:00","16.02202","0.98215","1.88866","1510.78121","222.38075"
"2024-05-27 20:00:00","17.24082","0.98336","3.13738","2385.78124","221.83126"
"2024-05-27 21:00:00","18.28164","0.98235","2.88763","1760.78125","223.32639"
"2024-05-27 22:00:00","18.28145","0.98506","2.63815","1885.78127","222.60541"
"2024-05-27 23:00:00","14.55629","0.98248","2.76237","2010.78128","223.94094"
"2024-05-28 00:00:00","13.06451","0.98764","2.13815","1635.78127","223.24301"
"2024-05-28 01:00:00","10.60362","0.98955","1.88892","1385.78125","221.92509"
"2024-05-28 02:00:00","17.82154","0.98352","2.51289","1760.78128","221.43903"
"2024-05-28 03:00:00","14.7122","0.98789","2.63789","1885.78129","221.43275"
"2024-05-28 04:00:00","12.83476","0.98273","2.01315","1510.78125","221.69002"
"2024-05-28 05:00:00","21.79198","0.98426","3.63712","2260.78127","223.23461"
"2024-05-28 06:00:00","2.69235","0.99915","0.38995","385.78126","220.87401"
"2024-05-28 07:00:00","0","1","0.01547","10.78125","219.59553"
"2024-05-28 08:00:00","0","1","0.01547","10.78125","219.68223"
"2024-05-28 09:00:00","0","1","0.01547","10.78125","219.6451"
"2024-05-28 10:00:00","2.88518","0.99702","0.39021","385.78126","219.71396"
"2024-05-28 11:00:00","4.11248","0.99512","0.76495","385.78126","220.44691"
"2024-05-28 12:00:00","0","1","0.01547","10.78125","220.66705"
"2024-05-28 13:00:00","0","1","0.01547","10.78125","219.93992"
"2024-05-28 14:00:00","1.65329","0.99886","0.39021","385.78126","220.20626"
"2024-05-28 15:00:00","6.38913","0.99189","1.26418","885.78126","220.63823"
"2024-05-28 16:00:00","5.34749","0.99293","0.88944","510.78125","220.87055"
"2024-05-28 17:00:00","10.61974","0.99227","1.88815","1510.78128","220.4223"
"2024-05-28 18:00:00","9.10529","0.99372","1.51392","1135.78128","221.67043"
"2024-05-28 19:00:00","14.32834","0.97828","2.01341","1260.78127","221.90011"
"2024-05-28 20:00:00","22.92033","0.97107","3.38763","2385.78128","222.33299"
"2024-05-28 21:00:00","8.46795","0.98974","2.26341","1510.78128","223.02465"
"2024-05-28 22:00:00","13.32121","0.98318","2.26263","1760.78127","222.47184"
"2024-05-28 23:00:00","7.31225","0.98868","2.13866","1510.78123","223.16405"
"2024-05-29 00:00:00","8.34271","0.98727","1.51392","1135.78126","223.79115"
"2024-05-29 01:00:00","19.71208","0.97501","3.51238","2760.78127","223.79034"
"2024-05-29 02:00:00","12.29346","0.99188","2.13866","1510.78128","221.40067"
"2024-05-29 03:00:00","13.60621","0.98269","2.26341","1385.78128","221.57064"
"2024-05-29 04:00:00","13.95235","0.99067","2.01315","1510.78129","221.97108"
"2024-05-29 05:00:00","15.90685","0.98538","2.88789","2010.78128","222.4797"
"2024-05-29 06:00:00","3.77736","0.9955","0.76495","385.78126","220.7276"
"2024-05-29 07:00:00","23.54034","0.98648","4.26263","2510.7813","219.55045"
"2024-05-29 08:00:00","33.18212","0.97136","5.13609","3260.78133","219.27285"
"2024-05-29 09:00:00","35.28239","0.97576","6.26083","3885.7813","218.91489"
"2024-05-29 10:00:00","52.79244","0.92408","8.88273","6510.78135","221.29556"
"2024-05-29 11:00:00","14.14883","0.97068","2.88841","2135.7813","221.63334"
"2024-05-29 12:00:00","4.25149","0.99797","0.76444","760.78126","221.34422"
"2024-05-29 13:00:00","4.82269","0.99329","0.7647","385.78126","219.78741"
"2024-05-29 14:00:00","0","1","0.01547","10.78125","220.09629"
"2024-05-29 15:00:00","13.39728","0.98725","1.38892","1135.78127","220.33202"
"2024-05-29 16:00:00","0","1","0.01547","10.78125","221.2786"
"2024-05-29 17:00:00","11.02665","0.99197","2.26366","1260.78129","221.41693"
"2024-05-29 18:00:00","4.28057","0.99372","1.01444","760.78126","221.76363"
"2024-05-29 19:00:00","11.69001","0.98915","2.51341","1885.78128","222.7869"
"2024-05-29 20:00:00","15.5059","0.9862","3.26263","2135.78126","223.23419"
"2024-05-29 21:00:00","12.90571","0.98804","2.13815","1635.78127","222.9313"
"2024-05-29 22:00:00","10.22875","0.9932","2.38866","1635.78127","222.53489"
"2024-05-29 23:00:00","21.65456","0.97655","2.01366","1510.78128","222.97448"
"2024-05-30 00:00:00","8.29763","0.98609","1.76418","1135.78128","222.66519"
"2024-05-30 01:00:00","12.2034","0.98241","2.26341","1760.78129","223.71688"
"2024-05-30 02:00:00","7.37862","0.98837","2.01366","1510.78123","223.38084"
"2024-05-30 03:00:00","14.48023","0.98521","2.88738","1885.78127","221.0843"
"2024-05-30 04:00:00","11.58949","0.99174","2.13841","1635.78128","221.70207"
"2024-05-30 05:00:00","25.95249","0.97919","3.51225","2260.69143","222.28452"
"2024-05-30 06:00:00","3.82896","0.99574","0.76508","385.8711","221.25602"
"2024-05-30 07:00:00","53.79322","0.97151","9.88454","5635.78137","218.93139"
"2024-05-30 08:00:00","0","1","0.01547","10.78125","220.00383"
"2024-05-30 09:00:00","116.73699","0.94298","21.50335","11260.78151","219.92956"
"2024-05-30 10:00:00","93.91535","0.95353","17.50516","9260.78147","219.29781"
"2024-05-30 11:00:00","0","1","0.01534","10.69141","219.27485"
"2024-05-30 12:00:00","3.8942","0.99754","0.5147","385.78126","221.05011"
"2024-05-30 13:00:00","0","1","0.0156","10.87109","220.57801"
"2024-05-30 14:00:00","6.94806","0.99109","1.01444","760.78126","218.96076"
"2024-05-30 15:00:00","6.14665","0.99404","0.76495","385.78126","219.45891"
"2024-05-30 16:00:00","3.69761","0.99691","0.63995","510.78125","220.55307"
"2024-05-30 17:00:00","1.94199","0.99761","0.51495","385.78126","221.24625"
"2024-05-30 18:00:00","10.56287","0.98652","1.51418","1010.78128","221.6067"
"2024-05-30 19:00:00","11.2087","0.99121","1.88866","1510.78128","223.68787"
"2024-05-30 20:00:00","11.61175","0.98533","2.51315","1760.78128","222.65824"
"2024-05-30 21:00:00","10.18535","0.98711","2.26341","1510.78128","223.06255"
"2024-05-30 22:00:00","13.12805","0.98675","2.01341","1635.78125","223.55908"
"2024-05-30 23:00:00","13.33858","0.98693","2.13866","1510.78128","222.35292"
"2024-05-31 00:00:00","9.43412","0.99617","1.26392","1010.78127","221.51666"
"2024-05-31 01:00:00","7.84063","0.98871","1.63918","1135.78127","222.27443"
"2024-05-31 02:00:00","15.10127","0.98665","2.01341","1510.78129","222.98498"
"2024-05-31 03:00:00","11.08015","0.98655","1.63866","1135.78128","223.49596"
"2024-05-31 04:00:00","14.50528","0.98348","1.88841","1385.78129","222.68655"
"2024-05-31 05:00:00","19.52866","0.98973","3.38712","2260.78132","221.20964"
